strain,pred_pixel_shifted
2.000000000000000042e-03,-1.173386912550339334e-04
2.000000000000000042e-02,-1.173386912550332395e-03
4.000000000000000083e-02,-2.444608988490346024e-03
5.999999999999999778e-02,-4.055537020038225970e-03
8.000000000000000167e-02,-5.975024546273466353e-03
1.000000000000000056e-01,-8.386416236800475765e-03
1.199999999999999956e-01,-1.116834145512357601e-02
1.400000000000000133e-01,-1.446863263646696457e-02
1.600000000000000033e-01,-1.808365101175032214e-02
1.799999999999999933e-01,-2.238515551671474424e-02
2.000000000000000111e-01,-2.688158769134510462e-02
